brand,pattern,size,existing_product_id,existing_sku,current_selling_price_aud,current_price_status,owner_selling_price_aud,purchase_cost_status,wac_status,current_stock_status,owner_reference_quantity,identity_confidence,resolution
Ralson,RDR75,265/70R19.5,,,unverified,unverified,390,unverified,unverified,unverified,8,source-match-only,Local database unavailable; verify product ID/SKU before update
Ralson,RMR61,265/70R19.5,,,unverified,unverified,380,unverified,unverified,unverified,7,source-match-only,Local database unavailable; verify product ID/SKU before update
Ralson,RMR61,295/80R22.5,,,unverified,unverified,450,unverified,unverified,unverified,51,source-match-only,Local database unavailable; verify product ID/SKU before update
Ralson,RAC55,295/80R22.5,,,unverified,unverified,525,unverified,unverified,unverified,38,source-match-only,Local database unavailable; verify product ID/SKU before update
Ralson,RDR75,295/80R22.5,,,unverified,unverified,550,unverified,unverified,unverified,16,source-match-only,Local database unavailable; verify product ID/SKU before update
Ralson,RMR61,385/65R22.5,,,unverified,unverified,690,unverified,unverified,unverified,16,source-match-only,Local database unavailable; verify product ID/SKU before update
Ralson,RTR71,11R22.5,,,unverified,unverified,330,unverified,unverified,unverified,17,source-match-only,Local database unavailable; verify product ID/SKU before update
Ralson,RDR52,11R22.5,,,unverified,unverified,380,unverified,unverified,unverified,16,source-match-only,Local database unavailable; verify product ID/SKU before update
Ralson,RDR55,11R22.5,,,unverified,unverified,385,unverified,unverified,unverified,36,source-match-only,Local database unavailable; verify product ID/SKU before update
Ralson,RDC66,11R22.5,,,unverified,unverified,430,unverified,unverified,unverified,16,source-match-only,Local database unavailable; verify product ID/SKU before update
Ralson,RAC55,11R22.5,,,unverified,unverified,395,unverified,unverified,unverified,22,source-match-only,Local database unavailable; verify product ID/SKU before update
Ralson,RDR75,235/75R17.5,,,unverified,unverified,290,unverified,unverified,unverified,16,source-match-only,Local database unavailable; verify product ID/SKU before update
Ralson,RMR61,235/75R17.5,,,unverified,unverified,299,unverified,unverified,unverified,16,source-match-only,Local database unavailable; verify product ID/SKU before update
Ralson,RMR61,275/70R22.5,,,unverified,unverified,450,unverified,unverified,unverified,3,source-match-only,Local database unavailable; verify product ID/SKU before update
Greforce,HD02,11R22.5,,,unverified,unverified,385,unverified,unverified,unverified,8,source-match-only,Local database unavailable; verify product ID/SKU before update
Greforce,GR881W,11R22.5,,,unverified,unverified,220,unverified,unverified,unverified,107,source-match-only,Local database unavailable; verify product ID/SKU before update
Greforce,G-ARMOR,11R22.5,,,unverified,unverified,230,unverified,unverified,unverified,74,source-match-only,Local database unavailable; verify product ID/SKU before update
Greforce,GRD1919,11R22.5,,,unverified,unverified,350,unverified,unverified,unverified,37,source-match-only,Local database unavailable; verify product ID/SKU before update
Greforce,G-PILOT,295/80R22.5,,,unverified,unverified,399,unverified,unverified,unverified,37,source-match-only,Local database unavailable; verify product ID/SKU before update
Greforce,GRT33,9.5R17.5,,,unverified,unverified,185,unverified,unverified,unverified,9,source-match-only,Local database unavailable; verify product ID/SKU before update
Greforce,GRT33,235/75R17.5,,,unverified,unverified,180,unverified,unverified,unverified,13,source-match-only,Local database unavailable; verify product ID/SKU before update
Jumbo,SS398,295/80R22.5,,,unverified,unverified,290,unverified,unverified,unverified,18,source-match-only,Local database unavailable; verify product ID/SKU before update
Jumbo,SS618,275/70R22.5,,,unverified,unverified,235,unverified,unverified,unverified,40,source-match-only,Local database unavailable; verify product ID/SKU before update
Opartner,CP989,265/70R19.5,,,unverified,unverified,220,unverified,unverified,unverified,7,source-match-only,Local database unavailable; verify product ID/SKU before update
Haulmax,ATT101,11R22.5,,,unverified,unverified,385,unverified,unverified,unverified,6,source-match-only,Local database unavailable; verify product ID/SKU before update
Haulmax,ATT101,275/70R22.5,,,unverified,unverified,340,unverified,unverified,unverified,5,source-match-only,Local database unavailable; verify product ID/SKU before update
Haulmax,ATT420,295/80R22.5,,,unverified,unverified,490,unverified,unverified,unverified,2,source-match-only,Local database unavailable; verify product ID/SKU before update
Sailun,SFR22,385/65R22.5,,,unverified,unverified,430,unverified,unverified,unverified,2,source-match-only,Local database unavailable; verify product ID/SKU before update
