brand,pattern,size,source_quantity_text,quantity,selling_price_aud,source_reference
Ralson,RDR75,265/70R19.5,8,8,390,owner-supplied
Ralson,RMR61,265/70R19.5,7,7,380,owner-supplied
Ralson,RMR61,295/80R22.5,51,51,450,owner-supplied
Ralson,RAC55,295/80R22.5,38,38,525,owner-supplied
Ralson,RDR75,295/80R22.5,16,16,550,owner-supplied
Ralson,RMR61,385/65R22.5,16,16,690,owner-supplied
Ralson,RTR71,11R22.5,17,17,330,owner-supplied
Ralson,RDR52,11R22.5,16,16,380,owner-supplied
Ralson,RDR55,11R22.5,36,36,385,owner-supplied
Ralson,RDC66,11R22.5,16,16,430,owner-supplied
Ralson,RAC55,11R22.5,22,22,395,owner-supplied
Ralson,RDR75,235/75R17.5,16,16,290,owner-supplied
Ralson,RMR61,235/75R17.5,16,16,299,owner-supplied
Ralson,RMR61,275/70R22.5,3,3,450,owner-supplied
Greforce,HD02,11R22.5,8,8,385,owner-supplied
Greforce,GR881W,11R22.5,107,107,220,owner-supplied
Greforce,G-ARMOR,11R22.5,74,74,230,owner-supplied
Greforce,GRD1919,11R22.5,37,37,350,owner-supplied
Greforce,G-PILOT,295/80R22.5,37,37,399,owner-supplied
Greforce,GRT33,9.5R17.5,09,9,185,owner-supplied
Greforce,GRT33,235/75R17.5,13,13,180,owner-supplied
Jumbo,SS398,295/80R22.5,18,18,290,owner-supplied
Jumbo,SS618,275/70R22.5,40,40,235,owner-supplied
Opartner,CP989,265/70R19.5,7,7,220,owner-supplied
Haulmax,ATT101,11R22.5,6,6,385,owner-supplied
Haulmax,ATT101,275/70R22.5,5,5,340,owner-supplied
Haulmax,ATT420,295/80R22.5,2,2,490,owner-supplied
Sailun,SFR22,385/65R22.5,2,2,430,owner-supplied
